name,lat,lon,category,address,osm_id,osm_type
#1-3a,10.7876264,106.6643466,other,,499043901,way
#2-6,10.78757,106.6642422,other,,500831951,way
#3b-7,10.7876078,106.6644608,other,,504202539,way
-162° FROST BINGSU & WAFFLE,10.7515729,106.6469635,ice_cream,"162 Bình Tây, Đường Lê Quang Sung",13904111401,node
07 Làng Tăng Phú . TNP.A . Q9,10.8400337,106.7968193,shop,,11021396905,node
08 03,10.7514578,106.665239,shop,"73, Đường An Điềm",1486116589,way
"08 Bà Huyện Thanh Quan, Phường 06, Quận 3, Thành phố Hồ Chí Minh, Phường 06, Quận 3, Thành phố Hồ Chí Minh",10.7756408,106.6900882,other,"08 Bà Huyện Thanh Quan, Phường 06, Quận 3, Thành phố Hồ Chí Minh, Phường 06, Quận 3, Thành phố Hồ Chí Minh, Xuân Hòa, Ho Chi Minh City",11703495920,node
09 Đường 2 . Trần Não . Bình An . Q2,10.7970903,106.7321875,shop,"9, Đường số 2",11018969105,node
1,10.8896276,106.8047583,other,,290725760,way
1 cent,10.9024708,106.6996012,shop,,4839990740,node
10,10.7696518,106.562888,other,,305085354,way
10 Độc Lập,10.7916851,106.6370287,transport,,11771724368,node
100 Vườn Lài,10.7877244,106.6336824,transport,,3158936122,node
1017 Nguyễn Duy Trinh . Phú Hữu . Q9,10.7952777,106.8072986,shop,,11026995505,node
1019 Nguyễn Duy Trinh . Phú Hữu . Q9,10.7960365,106.8073945,shop,,11026996005,node
1027 Nguyễn Duy Trinh . Phú Hữu . Q9,10.7968333,106.8074388,shop,,11026995706,node
104 Quốc Lộ 1k . Linh Xuân . TĐ,10.8779826,106.7666376,shop,,11035231105,node
104 Đường 144 . Tân Phú,10.867007,106.8094237,shop,,11034142405,node
107 Đường 265 . Hiệp Phú . Q9,10.8464687,106.7848994,shop,,11062923605,node
10A Đường 359 . Phước Long B . Q9,10.8189211,106.7767648,shop,,11029988005,node
11,10.769992,106.5619128,other,,305085359,way
11 Nam Cao . Tân Phú . Q9,10.8629103,106.7978433,shop,,11034101505,node
11/63 Nam Cao . Q9,10.8626577,106.8002679,shop,,11034096506,node
1119 Nguyễn Duy Trinh . Long Trường . Q9,10.8007422,106.8106436,shop,,11027064705,node
1127 KTV,10.7530028,106.6730685,bar,,11515855855,node
113 Nguyễn Hữu Cảnh,10.795123,106.7180798,transport,,12435545083,node
"115 Linh Trung , Linh Trung",10.8564327,106.7566561,shop,,11462715170,node
116 Culture Luxury,10.7684748,106.6986624,shop,"116, Nguyễn Thái Bình, District 1, TP. Hồ Chí Minh",11124634717,node
"116/16a Trần Quốc toản,",10.7848103,106.686601,other,"116/16a Trần Quốc toản,, Xuân Hòa, Ho Chi Minh City",11643888678,node
12 Dương Đình Hội . Phước Long B . Q9,10.8168788,106.7746266,shop,,11028965305,node
12 Đường 2 . Phường Cát lái . Quận 2,10.7636694,106.7826787,shop,,11003034205,node
"12/1H ấp tân thới 3, tân hiệp hóc môm",10.8947181,106.5850211,shop,,4833842522,node
123 Go Mart,10.7685479,106.6972383,shop,,13893611150,node
"126 Nguyễn Thị Minh Khai,",10.7778689,106.6930648,other,"126, Nguyễn Thị Minh Khai, Xuân Hòa, Ho Chi Minh City",11621572917,node
"127 Pasteur, SherwoodResidence,",10.7827157,106.6931513,other,"127 Pasteur, SherwoodResidence,, Xuân Hòa, Ho Chi Minh City",12005803985,node
12A Làng Tăng Phú . TNP.A . Q9,10.8404447,106.7974385,shop,,11021397705,node
13,10.7684459,106.5627224,other,,305085383,way
"13/1 Nguyễn Văn Mai,",10.7901355,106.687932,other,"13/1 Nguyễn Văn Mai,, Xuân Hòa, Ho Chi Minh City",11917715382,node
1306 Nguyễn Duy Trinh . Long Trường . Q9,10.8031072,106.813921,shop,,11027064005,node
1308 Nguyễn Duy Trinh . Long Trường . Q9,10.8033254,106.8141039,shop,,11027063905,node
131 Nguyễn Khoái,10.7556367,106.6930466,car_wash,,10831385906,node
134/109/263 Lý Chính Thắng,10.78943,106.68225,other,"134/109/263 Lý Chính Thắng, Phường 7, Quận 3, Thành phố Hồ Chí Minh, Xuân Hòa, Ho Chi Minh City",11959383280,node
134/17/5 Đường Lý Chính Thắng,10.7917981,106.6833585,other,"134/17/5 Đường Lý Chính Thắng, Phường 7, Quận 3, Thành phố Hồ Chí Minh, Xuân Hòa, Ho Chi Minh City",11836647735,node
135 Đường 6 . Bình Trưng Tây . Q2,10.7845634,106.7613519,shop,,11019024605,node
136 Mai Chí Thọ . An Phú . Quận 2,10.8017823,106.7539013,shop,,11062930605,node
"1366 Nguyễn Duy Trinh, Long Trường, Quận 9",10.8056434,106.8180916,shop,,11063124005,node
137 Hàm Nghi,10.7707963,106.7001852,shop,,11533096024,node
137 Luxury Massage,10.7736605,106.697257,shop,,11533096028,node
139 Coffee & Tea,10.7707988,106.7001322,cafe,"139, Hàm Nghi, Quận 1, Thành phố Hồ Chí Minh",12218545669,node
"139 Hai Bà Trưng,",10.7829723,106.6975964,other,"139 Hai Bà Trưng,, Xuân Hòa, Ho Chi Minh City",11811216259,node
139 Lê lợi - hóc môn,10.8953042,106.5851992,hostel,"139, Lê Lợi",4597397789,node
14,10.7680017,106.5637246,other,,305085385,way
14-16 Vườn Lài,10.7866903,106.6360314,transport,,3158936123,node
