name,lat,lon,category,address,osm_id,osm_type
Bệnh viện Quận 1 (cơ sở 2),10.7651115,106.6932273,hospital,"235-237, Trần Hưng Ðạo",9965185460,node
Trường Chính sách công và Phát triển nông thôn,10.7856371,106.7016723,college,"45, Đinh Tiên Hoàng, Quận 1, Thành phố Hồ Chí Minh",1023514803,way
Trường Đại Học KHXH&NV Thành phố Hồ Chí Minh - Cơ Sở 1,10.7856151,106.7030012,college,"10-12 Đinh Tiên Hoàng, Bến Nghé, Quận 1, Hồ Chí Minh",5612900521,node
Nhà Thiếu Nhi Quận 1,10.7849924,106.698682,museum,,2230447361,node
Wedo Skin Clinic Quan 1,10.7888402,106.6974043,hospital,"11, Trần Doãn Khanh, Quận 1, Ho Chi Minh City",12315783825,node
CGV,10.8501039,106.7653092,cinema,"59-61, Đường Pasteur, District 1",4054859161,node
Chùa Liên Tông,10.7654568,106.6942761,place_of_worship,"Hẻm 145 Ðề Thám, Quận 1, Phường Cô Giang",1212252287,way
Chùa Long An,10.7581314,106.6849589,place_of_worship,"106, Nguyễn Văn Cừ, Quận 1, Thành phố Hồ Chí Minh",466316397,way
Chùa Pháp Bửu,10.7603806,106.6940974,place_of_worship,"370/1, Hẻm 370 Võ Văn Kiệt, Quận 1",752685430,way
Nhà Hàng Pháp La Fourchette,10.7738554,106.7056571,restaurant,"9, Ngô Ðức Kế, District 1, Ho Chi Minh City",3508226903,node
Bánh Canh Cua 87,10.794868,106.6908358,food_court,"87, Trần Khắc Chân, Quận 1, Thành phố Hồ Chí Minh",5346289222,node
Bún Bò Huế Gia Hội,10.78415,106.6975046,restaurant,"19, Trần Cao Vân, Quận 1",2041380423,node
Bún Thịt Nướng Chả Giò,10.7734647,106.6995844,fast_food,"Nguyễn Trung Trực, Quận 1, Ho Chi Minh City",12533508180,node
Bề Bề Nội - Hương Vị Hà Nội Xưa,10.7748387,106.7003476,restaurant,"63/5, Hẻm 63 Pasteur, District 1, Ho Chi Minh City",13294837801,node
Central Parc Bánh Mì,10.7787487,106.6985432,cafe,"Pasteur, Quận 1, Thành phố Hồ Chí Minh",2176976131,node
Cà Phê Au Parc,10.7787503,106.6981182,cafe,"32, Hàn Thuyên, Quận 1, Thành phố Hồ Chí Minh",1407135685,node
Cà Phê Chateraise Lê Thánh Tôn,10.77908,106.7035922,cafe,"29A, Lê Thánh Tôn, Quận 1, Thành phố Hồ Chí Minh",9645073798,node
Cà Phê Thanh,10.8237422,106.7237142,cafe,"13, Nguyễn Huệ, Quận 1, Ho Chi Minh City",8039009185,node
Cà phê Nha,10.7587908,106.6851494,cafe,"385E3, Hẻm 385 Đường Nguyễn Trãi, Quận 1, Thành phố Hồ Chí Minh",13913454078,node
Công An Quận 1,10.7669177,106.6969079,police,,465303939,way
Cửa Hàng Pizza 4P's,10.7818475,106.705108,restaurant,"8/15, Lê Thánh Tôn, Quận 1, Thành Phố Hồ Chí Minh",2139904216,node
Dế Garden,10.7944976,106.691846,cafe,"104, Hẻm 53 Trần Khánh Dư, Quận 1, Thành phố Hồ Chí Minh",13710080320,node
Gấc Restaurant,10.7755944,106.705143,restaurant,"5, Công Trường Mê Linh, Quận 1, Thành phố Hồ Chí Minh",607428554,way
Highlands Bưu Điện Thành Phố,10.7800866,106.6994816,restaurant,"02, Công trường Công xã Paris, Quận 1, Thành phố Hồ Chí Minh",801950748,way
Hủ Tiếu Thành Đạt - Cô Bắc,10.7657017,106.6956594,restaurant,"34, Đường Cô Bắc, Quận 1",7018371466,node
Khách Sạn Anh Duy,10.7692252,106.7025594,hotel,"103, Đường Nguyễn Công Trứ, Quận 1, Ho Chi Minh City",6544500359,node
Khách Sạn Eden Garden,10.768162,106.6945829,hotel,"18/12 Pham Ngu Lao Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",4598094590,node
Khách Sạn Eden Garden 2,10.7682418,106.6945397,hotel,"28/12;175/21, 175/21 Pham Ngu Lao Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",4121579923,node
Khách Sạn EdenStar Sài Gòn,10.7718739,106.6900291,hotel,"38, Bùi Thị Xuân, District 1, Saigon",3606992724,node
Khách sạn Liberty 2,10.7707146,106.7002761,hotel,"129-133, Hàm Nghi, Quận 1, Thành phố Hồ Chí Minh",289926575,way
Khách sạn Silverland Sankyo,10.781646,106.7053628,hotel,"10A, Đường Lê Thánh Tôn, Quận 1",409116783,way
Nhà Hàng 48 Bistro,10.7714338,106.691936,restaurant,"52, Lê Thị Riêng, Quận 1, Ho Chi Minh City",5375623229,node
Nhà Hàng Beirut,10.7780733,106.7039174,restaurant,"74/13D, Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh",2139900977,node
Nhà Hàng Blanchy Street,10.7780081,106.7038501,restaurant,"74, Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh",2176976133,node
Nhà Hàng Chabad Vietnam,10.7892923,106.7014657,restaurant,"5, Hẻm 5a Nguyễn Ðình Chiểu, District 1, Ho Chi MInh City",3902968379,node
Nhà Hàng Don Chicken,10.7705516,106.7044952,restaurant,"67-69, Đường Cách Mạng Tháng Tám, Quận 1, Ho Chi Minh City",4554031994,node
Nhà Hàng El Gaucho,10.7780321,106.7036328,restaurant,"Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh",2138695625,node
Nhà Hàng GOLD ONE 3,10.7794702,106.6964781,bar,"10, Alexandre de Rhodes, Quận 1, Thành Phố Hồ Chí Minh",13651167867,node
Nhà Hàng Gold One 5,10.7659379,106.696495,restaurant,"45, Đường Nguyễn Thái Học, Quận 1, Hồ Chí Minh",6786567202,node
Nhà Hàng Golden Elephant,10.7769534,106.704788,restaurant,"34, Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh",3257659065,node
Nhà Hàng Hoa Túc,10.7783472,106.7038891,restaurant,"74, Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh",2176976134,node
Nhà Hàng Hồ Tây,10.784324,106.697355,restaurant,"20, Trần Cao Vân, Quận 1",2041384535,node
Nhà Hàng Meat & Meet,10.7714463,106.692749,restaurant,"8, Lê Thị Riêng, Quận 1, Ho Chi Minh City",5375766600,node
Nhà Hàng Non La Guys,10.7682032,106.694152,restaurant,"24, Hẻm 40 Bùi Viện, Quận 1, Ho Chi Minh City",4635264574,node
Nhà Hàng StormP Saigon,10.7776676,106.7044489,restaurant,"5B, Nguyễn Siêu, Quận 1, Thành phố Hồ Chí Minh",3350023231,node
Nhà Hàng Warda,10.7745038,106.7043696,restaurant,"71, Mạc Thị Bưởi, Quận 1, Ho Chi Minh City",6111679646,node
Nhà Hàng Xu,10.7769624,106.7044959,restaurant,"Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh",3246513533,node
Nhà Khách Saigon Home,10.76543,106.6992368,hostel,"142/14, 142/14 Võ Văn Kiệt,Phường Nguyễn Thái Bình,Quận 1",6124578085,node
Nhà hàng Hàn Quốc Choi Go Jip,10.770807,106.6997189,restaurant,"161, Hàm Nghi, Quận 1, Thành phố Hồ Chí Minh",12218545648,node
Nhà hàng Ếch Xanh,10.7600848,106.6859042,restaurant,"371D, Đường Nguyễn Cảnh Chân, Quận 1, Thành phố Hồ Chí Minh",6645617788,node
Phổ Đình Uraetei Yakiniku,10.7573304,106.6862853,restaurant,"545-547, Trần Hưng Ðạo, Quận 1, Tp.Hồ Chí Minh",1223486849,way
Phở Bắc Hải,10.7838752,106.6992161,restaurant,"25, Nguyễn Thị Minh Khai, Quận 1",2037626761,node
Phở Quỳnh,10.7674503,106.6906831,restaurant,"323, Phạm Ngũ Lão, Quận 1, Ho Chi Minh City",1525684372,way
Phở Ông Cát,10.7684638,106.6931288,fast_food,"201, Phạm Ngũ Lão, Quận 1, Ho Chi Minh City",1489501125,way
