_id,level,max_velocity,name,type,type_std
31096786,1,80.0,Quốc Lộ 1,trunk,trunk
32575737,4,,nan,unclassified,unclassified
32575794,4,,Chu Văn An,unclassified,unclassified
32575820,4,,Nguyễn Văn Bá,tertiary,tertiary
32575823,4,,Nguyễn Thị Nhỏ,tertiary,tertiary
32575862,3,,Đường số 5,secondary,secondary
32575864,3,40.0,Châu Văn Liêm,secondary,secondary
32575869,4,,Lê Văn Thịnh,unclassified,unclassified
32575874,4,,nan,unclassified,unclassified
32575935,3,,Tân Phú,primary_link,primary
32575943,4,,Lê Minh Xuân,tertiary,tertiary
32575944,4,,Phú Hòa,unclassified,unclassified
32575966,3,,Lê Văn Lương,secondary,secondary
32575968,4,,An Phú Tây - Hưng Long,tertiary,tertiary
32575985,4,,Nguyễn Khoái,tertiary,tertiary
32576041,4,,Vành Đai Trong,tertiary,tertiary
32576047,4,,Đường 10Tây,unclassified,unclassified
32576095,4,,nan,tertiary,tertiary
32576096,4,,Xuân Thới Sơn - Xuân Thới Dông,unclassified,unclassified
32576099,4,,Nguyễn Văn Lượng,unclassified,unclassified
32576112,4,,Trương Quốc Dung,unclassified,unclassified
32576127,4,,Tản Đà,tertiary,tertiary
32576156,4,,Đường số 7,tertiary,tertiary
32576164,3,,Bình Long,secondary,secondary
32576175,4,,Tam Đa,unclassified,unclassified
32576202,4,,Nguyễn Hồng Đào,tertiary,tertiary
32576278,4,,Bến Bùi Huy Bích,tertiary,tertiary
32576371,4,,Cầu Calmette,tertiary,tertiary
32576373,4,,Bến Nguyễn Duy,tertiary,tertiary
32576377,4,,Trường Sa,tertiary,tertiary
32576381,3,,Nguyễn Bình,secondary,secondary
32576511,4,,Vĩnh Lộc,tertiary,tertiary
32576575,4,,Thới Hòa,tertiary,tertiary
32576600,4,,Tạ Quang Bửu,tertiary,tertiary
32576602,3,,Trần Não,secondary,secondary
32576657,4,,Xóm Củi,tertiary,tertiary
32576658,4,,Nguyễn Đức Cảnh,tertiary,tertiary
32576690,4,,Phạm Đăng Giảng,tertiary,tertiary
32576691,3,,Phan Văn Hớn,secondary,secondary
32576747,4,,Hậu Giang,tertiary,tertiary
32576820,4,,Đại Lộ III,tertiary,tertiary
32576835,4,,Lương Thế Vinh,unclassified,unclassified
32576857,4,40.0,Phạm Văn Chí,tertiary,tertiary
32576867,4,,Lương Minh Nguyệt,unclassified,unclassified
32576893,4,,Dương Thị Mười,tertiary,tertiary
32576951,4,,Lê Sát,unclassified,unclassified
32577094,4,,nan,tertiary,tertiary
32577095,4,,nan,tertiary,tertiary
32577116,4,,Thích Quảng Đức,tertiary,tertiary
32577138,4,,Tân Thuận,unclassified,unclassified
32577146,4,,Nguyễn Cửu Phú,tertiary,tertiary
32577205,4,,Tam Bình,tertiary,tertiary
32577210,3,,Vĩnh Lộc,secondary,secondary
32577211,4,,Đào Tấn,tertiary,tertiary
32577232,4,,Đặng Văn Bi,tertiary,tertiary
32577244,4,,Tôn Thất Hiệp,tertiary,tertiary
32577256,4,,Trần Văn Giàu,tertiary,tertiary
32577314,4,,Nguyễn Thức Đường,tertiary,tertiary
32577339,4,,Trần Khắc Chân,unclassified,unclassified
32577369,4,,Hương Lộ 2,tertiary,tertiary
32577370,4,,Tây Lân,tertiary,tertiary
32577382,4,,Văn Thân,tertiary,tertiary
32577385,4,,Phước Thiện,tertiary,tertiary
32577436,4,,Hoàng Diệu 2,tertiary,tertiary
32577442,4,,nan,unclassified,unclassified
32577449,4,,Hẻm 373 Lý Thường Kiệt,unclassified,unclassified
32577460,4,,Lê Khôi,tertiary,tertiary
32577480,4,,Đường số 36,tertiary,tertiary
32577481,4,,Linh Đông,tertiary,tertiary
32577483,4,,nan,tertiary,tertiary
32577484,4,,Gò Dưa,tertiary,tertiary
32577500,4,,Dương Quang Đông,tertiary,tertiary
32577508,4,,Kha Vạn Cân,tertiary,tertiary
32577546,4,,Tân Xuân 1,unclassified,unclassified
32577561,4,,Phổ Quang,tertiary,tertiary
32577628,4,,Huỳnh Mẫn Đạt,tertiary,tertiary
32577683,2,,Nguyễn Tri Phương,primary,primary
32577684,3,,Nguyễn Tri Phương,secondary,secondary
32577686,4,,Thành Thái,tertiary,tertiary
32577688,2,,Xô Viết Nghệ Tĩnh,primary,primary
32577705,4,,Trịnh Đình Trọng,tertiary,tertiary
32577758,4,,An Phú Đông,unclassified,unclassified
32577789,3,,nan,primary_link,primary
32577799,4,,Tây Hòa,tertiary,tertiary
32577828,2,,Nguyễn Kiệm,primary,primary
32577919,2,,Nguyễn Oanh,primary,primary
32578100,4,,Ni Sư Huỳnh Liên,tertiary,tertiary
32578144,4,,Lê Lợi,unclassified,unclassified
32578157,4,,Văn Cao,tertiary,tertiary
32578166,4,,Hoàng Quốc Việt,unclassified,unclassified
32578171,4,,Đường số 9,unclassified,unclassified
32578226,4,,Vĩnh Khánh,unclassified,unclassified
32578248,4,,nan,unclassified,unclassified
32578335,3,,Lê Văn Thọ,secondary,secondary
32578371,4,,nan,unclassified,unclassified
32578420,4,,Đường số 11,tertiary,tertiary
32578431,4,,Nguyễn Văn Bá,tertiary,tertiary
32578529,4,,Tân Chánh Hiệp 39,tertiary,tertiary
32578530,4,,THOI TAM THÔN 5,unclassified,unclassified
32578532,4,,nan,unclassified,unclassified
32578543,3,,Bình Long,secondary,secondary
32578609,4,,Bông Sao,tertiary,tertiary
32578654,2,,Dương Bá Trạc,primary,primary
32578658,4,,Kinh Trung ương,tertiary,tertiary
32578663,4,,nan,tertiary,tertiary
32578669,4,,Tăng Nhơn Phú,tertiary,tertiary
32578711,4,,An Dương Vương,tertiary,tertiary
32578733,4,,Hồng Lạc,tertiary,tertiary
32578736,2,,Phan Đình Giót,primary,primary
32578747,4,,Nghĩa Phát,tertiary,tertiary
32578749,4,,Lãnh Binh Thăng,tertiary,tertiary
32578758,4,,Phú Thọ,tertiary,tertiary
32578763,4,,Phú Châu,tertiary,tertiary
32578837,3,,Nguyễn Văn Bứa,secondary,secondary
32578991,4,,Thiên Phước,tertiary,tertiary
32579008,4,,Nam Hoà,tertiary,tertiary
32579063,4,,Nguyễn Kim,tertiary,tertiary
32579064,4,40.0,Chợ Lớn,tertiary,tertiary
32579086,4,,Tân Thới Hiệp 21,unclassified,unclassified
32579104,4,,Đường số 12,unclassified,unclassified
32579159,4,,Hưng Nhơn,tertiary,tertiary
32579214,3,,Tạ Quang Bửu,secondary,secondary
32579252,4,,nan,unclassified,unclassified
32579339,4,,Hẻm 92B Tôn Thất Thuyết,unclassified,unclassified
32579340,4,,Vĩnh Hội,tertiary,tertiary
32579401,4,,Dồng Tâm,unclassified,unclassified
32579403,4,,Đường số 31,unclassified,unclassified
32579418,4,,Trương Công Định,tertiary,tertiary
32579421,4,,Chu Văn An,unclassified,unclassified
32579484,4,,nan,tertiary,tertiary
32579504,4,,Bình Lợi,tertiary,tertiary
32579641,4,,Bình Thới,tertiary,tertiary
32579669,3,,Trường Sơn,secondary,secondary
32579678,4,,nan,unclassified,unclassified
32579680,4,,Tây Thạnh,tertiary,tertiary
32579734,4,,Tam Châu,unclassified,unclassified
32579758,4,,Trần Phú,tertiary,tertiary
32579838,4,,Đường số 10,tertiary,tertiary
32579840,4,,Đường số 17,tertiary,tertiary
32579894,4,,Hồ Văn Huê,tertiary,tertiary
32579930,4,,Đường Số 10,unclassified,unclassified
32579940,4,,Trường Sa,tertiary,tertiary
32579995,4,,Tân Quý,unclassified,unclassified
32580074,4,40.0,Đường số 4,tertiary,tertiary
32580086,4,,Lê Đại Hành,tertiary,tertiary
32580098,4,,Đào Trinh Nhất,tertiary,tertiary
32580099,4,,Ung Văn Khiêm,tertiary,tertiary
32580111,4,,Bà Lài,tertiary,tertiary
32580124,2,,Pham Ngũ Lão,primary,primary
32580173,4,,Phan Thúc Duyện,unclassified,unclassified
32580181,4,,Tô Hiệu,tertiary,tertiary
32580182,4,,Phan Văn Năm,tertiary,tertiary
32580208,3,50.0,Lê Văn Khương,secondary,secondary
32580232,4,,nan,unclassified,unclassified
32580242,2,,Xuân Hồng,primary,primary
32580243,4,,Đặng Văn Ngữ,tertiary,tertiary
32580244,4,,Đặng Văn Ngữ,tertiary,tertiary
32580249,4,,Hoàng Thiều Hoa,unclassified,unclassified
32580262,4,,Tên Lửa,tertiary,tertiary
32580347,4,,nan,unclassified,unclassified
32580352,4,,Bình Đông,tertiary,tertiary
32580364,4,,Nguyễn Xí,tertiary,tertiary
32580377,4,,Lê Quang Kim,tertiary,tertiary
32580378,4,,Trần Tuấn Khải,tertiary,tertiary
32580387,3,,Trần Quốc Hoàn,secondary,secondary
32580441,4,,Nguyễn Văn Luông,tertiary,tertiary
32580466,4,,Phó Cơ Điều,tertiary,tertiary
